rhd 공
rhf 골
rhft 곬
rhk 과
rhkd 광
rhkf 괄
rhkr 곽
rhks 관
rhl 괴
rhl 굉
rho 괘
rhod 괭
rhos 괜
rhq 곱
rhr 곡
rhs 곤
rht 곳
ri 갸
rj 거
rja 검
rje 걷
rjf 걸
rjos 괜
rjq 겁
rjr 걱
rjs 건
rjt 것
rjv 겊
rk 가
rka 감
rkd 강
rke 갇
rkf 갈
rkq 갑
rkqt 값
rkr 각
rks 간
rktt 갔
rkv 갚
rkw 갖
rkx 같
rl 기
rla 김
rld 깅
rlf 길
rls 긴
rlt 깃
rlv 깊
rm 그
rma 금
rmd 긍
rmf 글
rmq 급
rmr 극
rms 근
rn 구
rnd 궁
rnf 굴
rnfa 굶
rnfr 굵
rnjf 궐
rnjs 권
rnl 귀
rnp 궤
rnq 굽
rnr 국
rns 군
ro 개
rod 갱
roo 걔
ror 객
rp 게
rpf 결
rpp 계
rptt 겠
rrb 뀨
rrh 꼬
rrhc 꽃
rrhd 꽁
rrhe 꼳
rrhf 꼴
rrhk 꽈
rrhl 꾀
rrhr 꼭
rrhw 꽂
rri 꺄
rrj 꺼
rrja 껌
rrjr 꺽
rrk 까
rrkf 깔
rrkq 깝
rrkr 깍
rrkrr 깎
rrks 깐
rrl 끼
rrm 끄
rrma 끔
rrmf 끌
rrmfg 끓
rrms 끈
rrmsg 끊
rrmt 끗
rrmx 끝
rrn 꾸
rrnls 뀐
rro 깨
rrp 께
rru 껴
rry 꾜
ru 겨
rud 경
ruf 결
rur 격
rus 견
rux 곁
ry 교
sb 뉴
se 니다
sh 노
shd 농
shf 놀
shg 놓
shl 뇌
shr 녹
shs 논
shv 높
si 냐
sid 냥
sj 너
sja 넘
sjdq 넓
sjf 널
sjfq 넓
sjg 넣
sjr 넉
sjrt 넋
sk 나
ska 남
skc 낯
skd 낭
ske 낟
skf 날
skq 납
skr 낙
sks 난
skt 낫
sktt 났
skw 낮
skx 낱 
sl 니
sla 님
sm 느
smd 능
smf 늘
smfr 늙
sms 는
smw 늦
sn 누
snf 눌
sns 눈
snv 눞
so 내
soa 냄
sod 냉
sof 낼
sos 낸
sott 냈
sp 네
spr 넥
spt 넷
sr 니까
su 녀
sua 념
sud 녕
sur 녁
sus 년
suz 녘
sy 뇨
tb 슈
te 시다
th 소
thd 송
thf 솔
thk 솨
thkf 솰
thl 쇠
tho 쇄
thr 속
ths 손
thx 솥
ti 샤
tia 샴
tj 서
tja 섬
tjd 성
tjf 설
tjq 섭
tjr 석
tjs 선
tjt 섯
tk 사
tka 삼
tkd 상
tkf 살
tkfa 삶
tkfr 삵
tkq 삽
tkr 삭
tkrt 삯
tks 산
tktt 샀
tl 시
tla 심
tld 싱
tlf 실
tlfg 싫
tlq 십
tlr 식
tls 신
tm 스
tma 슴
tmd 승
tmf 슬
tmq 습
tms 슨
tmt 숫
tn 수
tnd 숭
tne 숟
tnf 술
tnl 쉬
tnlq 쉽
tnpf 쉘
tnr 숙
tns 순
tnv 숲
to 새
toa 샘
tod 생
tof 샐
tor 색
tos 샌
tp 세
tps 센
ttb 쓔
tth 쏘
tti 쌰
ttj 써
ttjq 썹
